data,company,n,delta,Lat,Lon
2017-07-12,EGAL SRL,18,0,45.5962,9.01754
2017-07-12,XIA JINGYE,4,0,45.6158,9.08152
2017-07-12,MADEBLACK SRL,68,0,45.6508,9.84802
2017-07-12,LASERGRAF SRL,31,0,45.6851,8.93814
2017-07-13,EGAL SRL,27,0,45.5962,9.01754
2017-07-13,XIA JINGYE,5,0,45.6158,9.08152
2017-07-13,MADEBLACK SRL,92,0,45.6508,9.84802
2017-07-13,LASERGRAF SRL,15,0,45.6851,8.93814
2017-07-13,JIANG XIUJIN,1,0,45.7133,8.90516
2017-07-14,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-07-14,EGAL SRL,5,0,45.5962,9.01754
2017-07-14,XIA JINGYE,4,0,45.6158,9.08152
2017-07-14,MADEBLACK SRL,23,0,45.6508,9.84802
2017-07-14,LASERGRAF SRL,25,0,45.6851,8.93814
2017-07-14,JIANG XIUJIN,2,1,45.7133,8.90516
2017-07-17,PAM SRL,1,0,43.5512,11.5858
2017-07-17,GESM SPA FASHION FACTORY,1,3,45.5846,10.4382
2017-07-17,EGAL SRL,54,0,45.5962,9.01754
2017-07-17,XIA JINGYE,2,0,45.6158,9.08152
2017-07-17,MADEBLACK SRL,101,0,45.6508,9.84802
2017-07-17,JIANG XIUJIN,1,0,45.7133,8.90516
